code|name|spell
sh600366|宁波韵升|600366NBYS
sh600367|红星发展|600367HXFZ
sh600368|五洲交通|600368WZJT
sh600369|西南证券|600369XNZQ
sh600370|三房巷|600370SFX
sh600371|万向德农|600371WXDN
sh600372|中航电子|600372ZHDZ
sh600373|中文传媒|600373ZWCM
sh600375|华菱星马|600375HLXM
sh600376|首开股份|600376SKGF
sh600377|宁沪高速|600377NHGS
sh600378|天科股份|600378TKGF
sh600379|宝光股份|600379BGGF
sh600380|健康元|600380JKY
sh600381|青海春天|600381QHCT
sh600382|广东明珠|600382GDMZ
sh600383|金地集团|600383JDJT
sh600385|山东金泰|600385SDJT
sh600386|北巴传媒|600386BBCM
sh600387|海越股份|600387HYGF
sh600388|龙净环保|600388LJHB
sh600389|江山股份|600389JSGF
sh600390|五矿资本|600390WKZB
sh600391|成发科技|600391CFKJ
sh600392|盛和资源|600392SHZY
sh600393|粤泰股份|600393YTGF
sh600395|盘江股份|600395PJGF
sh600396|金山股份|600396JSGF
sh600397|安源煤业|600397AYMY
sh600398|海澜之家|600398HLZJ
sh600399|抚顺特钢|600399FSTG
sh600400|红豆股份|600400HDGF
sh600401|*ST海润|600401STHR
sh600403|大有能源|600403DYNY
sh600405|动力源|600405DLY
sh600406|国电南瑞|600406GDNR
sh600408|安泰集团|600408ATJT
sh600409|三友化工|600409SYHG
sh600410|华胜天成|600410HSTC
sh600415|小商品城|600415XSPC
sh600416|湘电股份|600416XDGF
sh600418|江淮汽车|600418JHQC
sh600419|天润乳业|600419TRRY
sh600420|现代制药|600420XDZY
sh600421|仰帆控股|600421YFKG
sh600422|昆药集团|600422KYJT
sh600423|柳化股份|600423LHGF
sh600425|青松建化|600425QSJH
sh600426|华鲁恒升|600426HLHS
sh600428|中远航运|600428ZYHY
sh600429|三元股份|600429SYGF
sh600433|冠豪高新|600433GHGX
sh600435|北方导航|600435BFDH
sh600436|片仔癀|600436PZH
sh600438|通威股份|600438TWGF
sh600439|瑞贝卡|600439RBK
sh600444|国机通用|600444GJTY
sh600446|金证股份|600446JZGF
sh600448|华纺股份|600448HFGF
