name|code|total_score_max|total_score_min|message_score_max|message_score_min|trade_score_max|trade_score_min|basic_score_max|basic_score_min|rate_buy_num|lhb_num
<a target="_blank" href="/Stock.php?code=sz002758"><span class="fore-stock-name">华通医药</span><span class="fore-stock-spell displaynone">002758HTYY</span></a>|<span class="fore-stock-code">sz002758</span>|6.2|3.9|7.1|7.1|3.6|1.8|4.4|4.4|0|1
<a target="_blank" href="/Stock.php?code=sz300005"><span class="fore-stock-name">探路者</span><span class="fore-stock-spell displaynone">300005TLZ</span></a>|<span class="fore-stock-code">sz300005</span>|6.1|3.9|5.3|4.7|7.7|5.8|7|6.5|1|1
<a target="_blank" href="/Stock.php?code=sz300023"><span class="fore-stock-name">宝德股份</span><span class="fore-stock-spell displaynone">300023BDGF</span></a>|<span class="fore-stock-code">sz300023</span>|6.6|5.6|5.4|4.7|7.4|5.7|7|6.5|2|1
<a target="_blank" href="/Stock.php?code=sz300053"><span class="fore-stock-name">欧比特</span><span class="fore-stock-spell displaynone">300053OBT</span></a>|<span class="fore-stock-code">sz300053</span>|6.9|4.9|6|5.8|8.3|5.6|6.8|6.5|1|1
<a target="_blank" href="/Stock.php?code=sz300061"><span class="fore-stock-name">康耐特</span><span class="fore-stock-spell displaynone">300061KNT</span></a>|<span class="fore-stock-code">sz300061</span>|6.9|6.1|6.6|5.8|8.4|6.3|6.9|6.9|2|1
<a target="_blank" href="/Stock.php?code=sz300073"><span class="fore-stock-name">当升科技</span><span class="fore-stock-spell displaynone">300073DSKJ</span></a>|<span class="fore-stock-code">sz300073</span>|6.4|4.5|6.3|5.7|7.8|6.3|5|4.6|4|2
<a target="_blank" href="/Stock.php?code=sz300100"><span class="fore-stock-name">双林股份</span><span class="fore-stock-spell displaynone">300100SLGF</span></a>|<span class="fore-stock-code">sz300100</span>|7.2|5.5|6.4|5.7|7.8|6.1|7.6|6.9|5|2
<a target="_blank" href="/Stock.php?code=sz300141"><span class="fore-stock-name">和顺电气</span><span class="fore-stock-spell displaynone">300141HSDQ</span></a>|<span class="fore-stock-code">sz300141</span>|5|3.6|4.4|4|7.2|5.1|4.3|3.8|4|1
<a target="_blank" href="/Stock.php?code=sz300149"><span class="fore-stock-name">量子高科</span><span class="fore-stock-spell displaynone">300149LZGK</span></a>|<span class="fore-stock-code">sz300149</span>|5.1|4.9|6.3|6.3|8.2|6.5|6.7|6.7|1|1
<a target="_blank" href="/Stock.php?code=sz300160"><span class="fore-stock-name">秀强股份</span><span class="fore-stock-spell displaynone">300160XQGF</span></a>|<span class="fore-stock-code">sz300160</span>|7.5|4.9|6.7|6.1|7.9|5.9|7.2|6.9|5|1
<a target="_blank" href="/Stock.php?code=sz300202"><span class="fore-stock-name">聚龙股份</span><span class="fore-stock-spell displaynone">300202JLGF</span></a>|<span class="fore-stock-code">sz300202</span>|6.7|4.6|6.2|5.5|8.2|5|5.4|5.4|1|2
<a target="_blank" href="/Stock.php?code=sz300249"><span class="fore-stock-name">依米康</span><span class="fore-stock-spell displaynone">300249YMK</span></a>|<span class="fore-stock-code">sz300249</span>|5.8|4.2|5.1|4.5|7.9|5.9|5.7|5.7|1|1
<a target="_blank" href="/Stock.php?code=sz300276"><span class="fore-stock-name">三丰智能</span><span class="fore-stock-spell displaynone">300276SFZN</span></a>|<span class="fore-stock-code">sz300276</span>|6|4|5.3|4.7|7.4|5.7|5.1|5.1|0|1
<a target="_blank" href="/Stock.php?code=sz300294"><span class="fore-stock-name">博雅生物</span><span class="fore-stock-spell displaynone">300294BYSW</span></a>|<span class="fore-stock-code">sz300294</span>|6.1|4.6|5.9|5.6|7.2|6.2|5.8|5.7|1|1
<a target="_blank" href="/Stock.php?code=sz300299"><span class="fore-stock-name">富春通信</span><span class="fore-stock-spell displaynone">300299FCTX</span></a>|<span class="fore-stock-code">sz300299</span>|6.3|4.6|6.4|5.9|8.4|6.1|7.3|7.2|2|1
<a target="_blank" href="/Stock.php?code=sz300317"><span class="fore-stock-name">珈伟股份</span><span class="fore-stock-spell displaynone">300317JWGF</span></a>|<span class="fore-stock-code">sz300317</span>|6.9|5.4|6.2|5.7|7.7|5.5|7.6|7.6|3|4
<a target="_blank" href="/Stock.php?code=sz300327"><span class="fore-stock-name">中颖电子</span><span class="fore-stock-spell displaynone">300327ZYDZ</span></a>|<span class="fore-stock-code">sz300327</span>|6.7|4.6|6.3|5.8|8.3|5.6|6|6|3|1
<a target="_blank" href="/Stock.php?code=sz300338"><span class="fore-stock-name">开元仪器</span><span class="fore-stock-spell displaynone">300338KYYQ</span></a>|<span class="fore-stock-code">sz300338</span>|6.6|3.9|5.2|4.7|8.2|5.2|4.2|4.2|1|1
<a target="_blank" href="/Stock.php?code=sz300342"><span class="fore-stock-name">天银机电</span><span class="fore-stock-spell displaynone">300342TYJD</span></a>|<span class="fore-stock-code">sz300342</span>|7.3|7.1|6|5.7|7.9|5.9|7.3|7.2|0|1
<a target="_blank" href="/Stock.php?code=sz300376"><span class="fore-stock-name">易事特</span><span class="fore-stock-spell displaynone">300376YST</span></a>|<span class="fore-stock-code">sz300376</span>|6.7|4.1|5.8|5.6|3.8|1.6|8.2|7.7|1|1
<a target="_blank" href="/Stock.php?code=sz300377"><span class="fore-stock-name">赢时胜</span><span class="fore-stock-spell displaynone">300377YSS</span></a>|<span class="fore-stock-code">sz300377</span>|5.8|4.1|5.7|5.6|5|1.6|5.7|5.7|1|1
<a target="_blank" href="/Stock.php?code=sz300386"><span class="fore-stock-name">飞天诚信</span><span class="fore-stock-spell displaynone">300386FTCX</span></a>|<span class="fore-stock-code">sz300386</span>|5.6|3.9|4.5|4.1|4.7|1.6|4.8|4.8|0|2
<a target="_blank" href="/Stock.php?code=sz300401"><span class="fore-stock-name">花园生物</span><span class="fore-stock-spell displaynone">300401HYSW</span></a>|<span class="fore-stock-code">sz300401</span>|6.1|3.8|5|3.5|3.8|2.6|4.4|4.4|2|1
