name|code|MaxRange|DayNum|message_score_max|message_score_min|message_score_dis|basic_score_max|basic_score_min|total_score_max|total_score_min
<a target="_blank" href="/Chart.php?code=sz002709"><span class="fore-stock-name">天赐材料</span><span class="fore-stock-spell displaynone">002709TCCL</span></a>|<span class="fore-stock-code">sz002709</span>|0.32|6|6.9|6.9|0|6.6|6.6|6.2|6.2
<a target="_blank" href="/Chart.php?code=sz002183"><span class="fore-stock-name">怡亚通</span><span class="fore-stock-spell displaynone">002183YYT</span></a>|<span class="fore-stock-code">sz002183</span>|0.32|6|6.8|6.8|0|6.3|6.3|4.3|4.3
<a target="_blank" href="/Chart.php?code=sh603789"><span class="fore-stock-name">星光农机</span><span class="fore-stock-spell displaynone">603789XGNJ</span></a>|<span class="fore-stock-code">sh603789</span>|0.32|6|6.2|6.2|0|5.2|5.2|5.5|5.5
<a target="_blank" href="/Chart.php?code=sz300119"><span class="fore-stock-name">瑞普生物</span><span class="fore-stock-spell displaynone">300119RPSW</span></a>|<span class="fore-stock-code">sz300119</span>|0.32|6|7.1|7.1|0|6.4|6.4|6.4|6.4
<a target="_blank" href="/Chart.php?code=sh600279"><span class="fore-stock-name">重庆港九</span><span class="fore-stock-spell displaynone">600279ZQGJ</span></a>|<span class="fore-stock-code">sh600279</span>|0.32|6|5.5|5.5|0|4.6|4.6|5.9|5.9
<a target="_blank" href="/Chart.php?code=sh600360"><span class="fore-stock-name">华微电子</span><span class="fore-stock-spell displaynone">600360HWDZ</span></a>|<span class="fore-stock-code">sh600360</span>|0.31|6|5.5|5.5|0|5.7|5.7|6.1|6.1
<a target="_blank" href="/Chart.php?code=sh600358"><span class="fore-stock-name">国旅联合</span><span class="fore-stock-spell displaynone">600358GLLH</span></a>|<span class="fore-stock-code">sh600358</span>|0.31|6|5.5|5.5|0|5.7|5.7|6.6|6.6
<a target="_blank" href="/Chart.php?code=sz300432"><span class="fore-stock-name">富临精工</span><span class="fore-stock-spell displaynone">300432FLJG</span></a>|<span class="fore-stock-code">sz300432</span>|0.31|6|5.9|5.9|0|5.7|5.7|5.5|5.5
<a target="_blank" href="/Chart.php?code=sz002154"><span class="fore-stock-name">报喜鸟</span><span class="fore-stock-spell displaynone">002154BXN</span></a>|<span class="fore-stock-code">sz002154</span>|0.31|6|7.1|7.1|0|6.2|6.2|6.2|6.2
<a target="_blank" href="/Chart.php?code=sz300019"><span class="fore-stock-name">硅宝科技</span><span class="fore-stock-spell displaynone">300019GBKJ</span></a>|<span class="fore-stock-code">sz300019</span>|0.31|6|6.8|6.8|0|5.7|5.7|6.5|6.5
<a target="_blank" href="/Chart.php?code=sz002339"><span class="fore-stock-name">积成电子</span><span class="fore-stock-spell displaynone">002339JCDZ</span></a>|<span class="fore-stock-code">sz002339</span>|0.31|6|7.4|7.4|0|5.8|5.8|5.9|5.9
<a target="_blank" href="/Chart.php?code=sz300427"><span class="fore-stock-name">红相电力</span><span class="fore-stock-spell displaynone">300427HXDL</span></a>|<span class="fore-stock-code">sz300427</span>|0.31|6|6.6|6.6|0|6.4|6.4|5.9|5.9
<a target="_blank" href="/Chart.php?code=sz000821"><span class="fore-stock-name">京山轻机</span><span class="fore-stock-spell displaynone">000821JSQJ</span></a>|<span class="fore-stock-code">sz000821</span>|0.3|6|7.4|7.4|0|6|6|6|6
<a target="_blank" href="/Chart.php?code=sz300469"><span class="fore-stock-name">信息发展</span><span class="fore-stock-spell displaynone">300469XXFZ</span></a>|<span class="fore-stock-code">sz300469</span>|0.3|6|6.4|6.4|0|4.3|4.3|5.7|5.7
<a target="_blank" href="/Chart.php?code=sz002698"><span class="fore-stock-name">博实股份</span><span class="fore-stock-spell displaynone">002698BSGF</span></a>|<span class="fore-stock-code">sz002698</span>|0.3|6|6.5|6.5|0|4.7|4.7|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz300021"><span class="fore-stock-name">大禹节水</span><span class="fore-stock-spell displaynone">300021DYJS</span></a>|<span class="fore-stock-code">sz300021</span>|0.3|6|7|7|0|5.3|5.3|5.7|5.7
<a target="_blank" href="/Chart.php?code=sz000150"><span class="fore-stock-name">宜华健康</span><span class="fore-stock-spell displaynone">000150YHJK</span></a>|<span class="fore-stock-code">sz000150</span>|0.3|6|5.3|5.3|0|6.1|6.1|5.3|5.3
<a target="_blank" href="/Chart.php?code=sz300081"><span class="fore-stock-name">恒信移动</span><span class="fore-stock-spell displaynone">300081HXYD</span></a>|<span class="fore-stock-code">sz300081</span>|0.3|6|6.7|6.7|0|5.2|5.2|5.8|5.8
<a target="_blank" href="/Chart.php?code=sh600868"><span class="fore-stock-name">梅雁吉祥</span><span class="fore-stock-spell displaynone">600868MYJX</span></a>|<span class="fore-stock-code">sh600868</span>|0.3|6|3.1|3.1|0|3.9|3.9|5|5
<a target="_blank" href="/Chart.php?code=sz300329"><span class="fore-stock-name">海伦钢琴</span><span class="fore-stock-spell displaynone">300329HLGQ</span></a>|<span class="fore-stock-code">sz300329</span>|0.3|6|6.3|6.3|0|4.8|4.8|6.1|6.1
<a target="_blank" href="/Chart.php?code=sz000019"><span class="fore-stock-name">深深宝Ａ</span><span class="fore-stock-spell displaynone">000019SSBA</span></a>|<span class="fore-stock-code">sz000019</span>|0.3|6|7.3|7.3|0|4.5|4.5|6.1|6.1
<a target="_blank" href="/Chart.php?code=sh600501"><span class="fore-stock-name">航天晨光</span><span class="fore-stock-spell displaynone">600501HTCG</span></a>|<span class="fore-stock-code">sh600501</span>|0.3|6|3.7|3.7|0|6.4|6.4|6|6
<a target="_blank" href="/Chart.php?code=sz300050"><span class="fore-stock-name">世纪鼎利</span><span class="fore-stock-spell displaynone">300050SJDL</span></a>|<span class="fore-stock-code">sz300050</span>|0.29|6|6.6|6.6|0|5.8|5.8|5.9|5.9
